,0,,,
VINNY,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
VINYLINDIA,Commodities,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
VIPCLOTHNG,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
VIPIND,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer
VIPULLTD,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
VIRINCHI,Information Technology,Information Technology,IT - Software,Software Products
VISAKAIND,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
VISASTEEL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
VISHNU,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
VISHWARAJ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
VIVIDHA,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
VLEGOV,Information Technology,Information Technology,IT - Services,IT Enabled Services
VLSFINANCE,Financial Services,Financial Services,Finance,Investment Company
VMART,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
VMM,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
VOLTAMP,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
VOLTAS,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
VPRPL,Industrials,Construction,Construction,Civil Construction
VRAJ,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron
VRLLOG,Services,Services,Transport Services,Logistics Solution Provider
VSSL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
VSTIND,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
VSTL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
VSTTILLERS,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Tractors
VTL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
WAAREEENER,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
WAAREERTL,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
WABAG,Utilities,Utilities,Other Utilities,Water Supply & Management
WALCHANNAG,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
WANBURY,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
WCIL,Services,Services,Transport Services,Logistics Solution Provider
WEALTH,Financial Services,Financial Services,Finance,Other Financial Services
WEBELSOLAR,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
WEIZMANIND,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
WEL,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
WELCORP,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
WELENT,Industrials,Construction,Construction,Civil Construction
WELINV,Financial Services,Financial Services,Finance,Investment Company
WELSPUNLIV,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
WENDT,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
WESTLIFE,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
WEWIN,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
WHEELS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
WHIRLPOOL,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
WILLAMAGOR,Financial Services,Financial Services,Finance,Investment Company
WINDLAS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
WINDMACHIN,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
WINSOME,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
WIPL,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
WIPRO,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
WOCKPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
WONDERLA,Consumer Discretionary,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation
WORTH,Industrials,Capital Goods,Industrial Products,Packaging
WSI,Industrials,Construction,Construction,Civil Construction
WSTCSTPAPR,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
XCHANGING,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
XELPMOC,Information Technology,Information Technology,IT - Software,Software Products
XPROINDIA,Industrials,Capital Goods,Industrial Products,Packaging
XTGLOBAL,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
YAARI,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
YASHO,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
YATHARTH,Healthcare,Healthcare,Healthcare Services,Hospital
YATRA,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services"
YESBANK,Financial Services,Financial Services,Banks,Private Sector Bank
YUKEN,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
ZAGGLE,Information Technology,Information Technology,IT - Services,IT Enabled Services
ZEEL,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
ZEELEARN,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
ZEEMEDIA,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
ZENITHEXPO,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products
ZENITHSTL,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
ZENSARTECH,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
ZENTEC,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
ZFCVINDIA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ZIMLAB,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ZODIAC,Industrials,Construction,Construction,Civil Construction
ZODIACLOTH,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
ZOMATO,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
ZOTA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ZUARI,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
ZUARIIND,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
ZYDUSLIFE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ZYDUSWELL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
SUNDROP,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
ADOR,Industrials,Capital Goods,Industrial Products,Other Industrial Products
ACUTAAS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
UMIYA-MRO,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories
COHANCE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ABLBL,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
AEGISVOPAK,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Storage & Transportation
AEROENTER,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
ANKITMETAL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
ARSSINFRA,Industrials,Construction,Construction,Civil Construction
ATHERENERG,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
BELRISE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
BLUSPRING,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
BORANA,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
CIFL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
CRIZAC,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail
DHARAN,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
DIGITIDE,Information Technology,Information Technology,IT - Services,IT Enabled Services
ELLEN,Commodities,Chemicals,Chemicals & Petrochemicals,Industrial Gases
ENRIN,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
FISCHER,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
GLOBECIVIL,Industrials,Construction,Construction,Civil Construction
HDBFS,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
IGCL,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
KALPATARU,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
KAVDEFENCE,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories
KRISHIVAL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
NPST,Information Technology,Information Technology,IT - Services,IT Enabled Services
OSWALPUMPS,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
PICCADIL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
PRIMO,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
PROSTARM,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
RAJOOENG,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
RAYMONDREL,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
SAMBHV,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SCODATUBES,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SUMEETINDS,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
THELEELA,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
TINNARUBR,Industrials,Capital Goods,Industrial Products,Rubber
AERONEU,Industrials,Capital Goods,Industrial Products,Packaging
AHCL,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALLTIME,Consumer Discretionary,Consumer Durables,Consumer Durables,Houseware
ANTHEM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology
ARFIN,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium
BCG,Information Technology,Information Technology,IT - Services,IT Enabled Services
BELLACASA,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
BILVYAPAR,Financial Services,Financial Services,Finance,Holding Company
BLUESTONE,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
BRIGHOTEL,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
CHEMBONDCH,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
CPPLUS,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
EBGNG,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
EFCIL,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
EUROBOND,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
GCSL,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services
GEMAROMA,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
GVPIL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
HGM,Information Technology,Information Technology,IT - Services,IT Enabled Services
HILINFRA,Services,Services,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
INDIQUBE,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
JSLL,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
JSWCEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
LAXMIINDIA,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
LOTUSDEV,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
MBEL,Industrials,Construction,Construction,Civil Construction
MEIL,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
ORTEL,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
PASHUPATI,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
PATELRMART,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
REGAAL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
RMDRIP,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
RNBDENIMS,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
SGFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
SHANTIGOLD,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
SHREEJISPG,Services,Services,Transport Services,Shipping
SMARTWORKS,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
STLNETWORK,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services
SWANCORP,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
SWANDEF,Industrials,Capital Goods,Industrial Manufacturing,Ship Building & Allied Services
TEAMGTY,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
TRAVELFOOD,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
VIKRAMSOLR,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
VIKRAN,Industrials,Construction,Construction,Civil Construction
ABCOTS,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
ADVANCE,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
AMANTA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ANTELOPUS,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production
ARSSBL,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
ATLANTAELE,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
AURIGROW,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
BMWVENTLTD,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals
CANHLIFE,Financial Services,Financial Services,Insurance,Life Insurance
CAPTRU-RE1,Invalid Symbol,,,
CEMPRO,Industrials,Construction,Construction,Civil Construction
CRAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company
DEVX,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
EPACKPEB,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
EUROPRATIK,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
FABTECH,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
FINKURVE,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
GANESHCP,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
GANESHHOU,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
GKENERGY,Industrials,Construction,Construction,Civil Construction
GLOTTIS,Services,Services,Transport Services,Logistics Solution Provider
INFOMEDIA,Consumer Discretionary,"Media, Entertainment & Publication",Printing & Publication,Printing & Publication
IVALUE,Information Technology,Information Technology,IT - Services,IT Enabled Services
JAINREC,Commodities,Metals & Mining,Diversified Metals,Diversified Metals
JARO,Consumer Discretionary,Consumer Services,Other Consumer Services,E-Learning
JKIPL,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles","Dealers-Commercial Vehicles, Tractors, Construction Vehicles"
LAKPRE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
LGEINDIA,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
MARKOLINES,Industrials,Construction,Construction,Civil Construction
MONEYBOXX,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
MWL,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals
OMFREIGHT,Services,Services,Transport Services,Logistics Solution Provider
PACEDIGITK,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure
RHETAN,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SAATVIKGL,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
SETUINFRA,Industrials,Construction,Construction,Civil Construction
SGMART,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals
SHRINGARMS,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
SOLARWORLD,Industrials,Construction,Construction,Civil Construction
SOLEX,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
STYL,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
SYSTMTXC,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
TATACAP,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
TIGERLOGS,Services,Services,Transport Services,Logistics Solution Provider
TRUALT,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
TSFINV,Financial Services,Financial Services,Finance,Investment Company
UFBL,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
URBANCO,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
VGL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
VMSTMT,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
WEWORK,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
WORTHPERI,Industrials,Capital Goods,Industrial Products,Packaging
YAARI,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
AEQUS,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
ALGOQUANT,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
AMAGI,Industrials,Capital Goods,Industrial Products,Cables - Electricals
AMANTA,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
ANTELOPUS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ARSSBL,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ATLANTAELE,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
AURIGROW,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
BETA,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
BHARATCOAL,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
BLUECHIP,Industrials,Capital Goods,Industrial Products,Packaging
BMWVENTLTD,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals
BOSCH-HCIL,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
BUILDPRO,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
CANHLIFE,Financial Services,Financial Services,Insurance,Life Insurance
CAPILLARY,Information Technology,Information Technology,IT - Software,Software Products
CCAVENUE,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
CEMPRO,Industrials,Construction,Construction,Civil Construction
CLCIND,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
CNL,Services,Services,Commercial Services & Supplies,Trading & Distributors
CORONA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
CRAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company
DEVX,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
EASTSILK,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
EMMVEE,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
EPACKPEB,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
EUROPRATIK,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
EXCELSOFT,Information Technology,Information Technology,IT - Services,IT Enabled Services
FABTECH,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
FINKURVE,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
GANESHCP,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
GANESHHOU,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
GKENERGY,Industrials,Construction,Construction,Civil Construction
GKSL,Healthcare,Healthcare,Healthcare Services,Hospital
GLOTTIS,Services,Services,Transport Services,Logistics Solution Provider
GROWW,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
HALDER,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
HALEOSLABS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
IBULLSLTD,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
ICICIAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company
INFOMEDIA,Consumer Discretionary,"Media, Entertainment & Publication",Printing & Publication,Printing & Publication
IVALUE,Information Technology,Information Technology,IT - Services,IT Enabled Services
JAINREC,Commodities,Metals & Mining,Diversified Metals,Diversified Metals
JARO,Consumer Discretionary,Consumer Services,Other Consumer Services,E-Learning
JAYKAY,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
ABCOTS,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
JKIPL,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles","Dealers-Commercial Vehicles, Tractors, Construction Vehicles"
JPASSOCIAT,Industrials,Construction,Construction,Civil Construction
KNAGRI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
KRISHNADEF,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
KSHINTL,Industrials,Capital Goods,Industrial Products,Cables - Electricals
KSR,Services,Services,Commercial Services & Supplies,Trading & Distributors
LAKPRE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
LEMERITE,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
LENSKART,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
LGEINDIA,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
MARKOLINES,Industrials,Construction,Construction,Civil Construction
MEESHO,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
MIDWESTLTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles
MODINATUR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
MODIS,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
MONEYBOXX,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
MWL,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals
NEPHROPLUS,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
OMFREIGHT,Services,Services,Transport Services,Logistics Solution Provider
ORKLAINDIA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
PACEDIGITK,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure
PARKHOSPS,Healthcare,Healthcare,Healthcare Services,Hospital
PAUSHAKLTD,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
PINELABS,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
PIRAMALFIN,Financial Services,Financial Services,Finance,Housing Finance Company
PWL,Consumer Discretionary,Consumer Services,Other Consumer Services,E-Learning
RHETAN,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
RUBICON,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
RUDRA,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SAATVIKGL,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
SETL,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
SETUINFRA,Industrials,Construction,Construction,Civil Construction
SGMART,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals
SHADOWFAX,Services,Services,Transport Services,Logistics Solution Provider
SHILCTECH,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
SHIVAUM,Services,Services,Commercial Services & Supplies,Trading & Distributors
SHRINGARMS,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
SILGO-RE1,Invalid Symbol,,,
SKFINDUS,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
SMLMAH,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
SOLARWORLD,Industrials,Construction,Construction,Civil Construction
SOLEX,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
STUDDS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
STYL,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
ADVENTHTL,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
SUDARCOLOR,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
SUDEEPPHRM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SYSTMTXC,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
TATACAP,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
TENNIND,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
TIGERLOGS,Services,Services,Transport Services,Logistics Solution Provider
TMCV,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
TMPV,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
TRUALT,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
TSFINV,Financial Services,Financial Services,Finance,Investment Company
UEL,Utilities,Power,Power,Power Generation
UFBL,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
URBANCO,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
UTLSOLAR,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
VGL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
VIDYAWIRES,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
ADVAIT,Industrials,Capital Goods,Industrial Products,Cables - Electricals
ADVANCE,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
VIVIMEDLAB,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
VIYASH,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
VMSTMT,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
WAAREEINDO,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
WAKEFIT,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
WEWORK,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
WORTHPERI,Industrials,Capital Goods,Industrial Products,Packaging
AARNAV,Consumer Discretionary,Textiles,Textiles & Apparels,Trading - Textile Products
ABANSENT,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals
ABCOTS,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
ABLBL,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
ABMKNO,Information Technology,Information Technology,IT - Software,Software Products
ACSTECH,Information Technology,Information Technology,IT - Services,IT Enabled Services
ADVAIT,Industrials,Capital Goods,Industrial Products,Cables - Electricals
ADVANCE,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
ADVENTHTL,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
AEGISVOPAK,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Storage & Transportation
AEPL,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
AEQUS,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AEROENTER,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
AERONEU,Industrials,Capital Goods,Industrial Products,Packaging
AHCL,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AHLWEST,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
AKCAPIT,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
ALGOQUANT,Financial Services,Financial Services,Finance,Other Financial Services
